disease,symptoms,context
bowel obstruction,"Abdominal pain, bloating, constipation, vomiting, inability to pass gas, distended abdomen","bowel obstruction: Abdominal pain, bloating, constipation, vomiting, inability to pass gas, distended abdomen"
brachial plexus injury,"Weakness or paralysis in the arm, loss of sensation, pain, tingling or burning sensation, limited range of motion","brachial plexus injury: Weakness or paralysis in the arm, loss of sensation, pain, tingling or burning sensation, limited range of motion"
brain aneurysm,"Sudden, severe headache, nausea or vomiting, stiff neck, sensitivity to light, blurred or double vision","brain aneurysm: Sudden, severe headache, nausea or vomiting, stiff neck, sensitivity to light, blurred or double vision"
brain cancer,"Headaches (usually worse in the morning), seizures, nausea or vomiting, weakness or numbness, changes in vision or speech","brain cancer: Headaches (usually worse in the morning), seizures, nausea or vomiting, weakness or numbness, changes in vision or speech"
brain tumor,"Headaches, seizures, memory problems, changes in personality, difficulty walking or balancing, vision or hearing changes","brain tumor: Headaches, seizures, memory problems, changes in personality, difficulty walking or balancing, vision or hearing changes"
breast abscess,"Pain, redness, and swelling in the breast, fever, warmth at the site of the abscess, pus drainage","breast abscess: Pain, redness, and swelling in the breast, fever, warmth at the site of the abscess, pus drainage"
breast calcifications,"Small deposits of calcium in the breast tissue, usually detected on a mammogram, usually benign but can indicate breast cancer","breast calcifications: Small deposits of calcium in the breast tissue, usually detected on a mammogram, usually benign but can indicate breast cancer"
breast cancer,"Lump or mass in the breast, changes in breast size or shape, nipple discharge, nipple inversion, redness or thickening of breast skin","breast cancer: Lump or mass in the breast, changes in breast size or shape, nipple discharge, nipple inversion, redness or thickening of breast skin"
breast cellulitis,"Redness, swelling, warmth, and pain in the breast, fever, chills, fatigue","breast cellulitis: Redness, swelling, warmth, and pain in the breast, fever, chills, fatigue"
breast trauma,"Pain, swelling, bruising, or deformity in the breast after an injury, tenderness, difficulty moving the arm","breast trauma: Pain, swelling, bruising, or deformity in the breast after an injury, tenderness, difficulty moving the arm"
bronchiectasis,"Chronic cough with large amounts of sputum, recurrent chest infections, wheezing, fatigue, shortness of breath","bronchiectasis: Chronic cough with large amounts of sputum, recurrent chest infections, wheezing, fatigue, shortness of breath"
bronchiolitis,"Cough, wheezing, runny nose, stuffy nose, fever, difficulty breathing (especially in infants)","bronchiolitis: Cough, wheezing, runny nose, stuffy nose, fever, difficulty breathing (especially in infants)"
bronchitis,"Cough with mucus (productive cough), chest discomfort, fatigue, shortness of breath, fever","bronchitis: Cough with mucus (productive cough), chest discomfort, fatigue, shortness of breath, fever"
brucellosis,"Fever, sweats, fatigue, muscle and joint pain, headache, loss of appetite, swelling of the liver or spleen","brucellosis: Fever, sweats, fatigue, muscle and joint pain, headache, loss of appetite, swelling of the liver or spleen"
brugada syndrome,"Fainting (syncope), irregular heartbeat (arrhythmia), sudden cardiac arrest, difficulty breathing, palpitations","brugada syndrome: Fainting (syncope), irregular heartbeat (arrhythmia), sudden cardiac arrest, difficulty breathing, palpitations"
bruxism (teeth grinding),"Teeth grinding or clenching, jaw pain or stiffness, headaches, tooth damage, earache","bruxism (teeth grinding): Teeth grinding or clenching, jaw pain or stiffness, headaches, tooth damage, earache"
bulimia nervosa,"Binge eating followed by purging (vomiting, laxative use, fasting, excessive exercise), feeling out of control during binges, fear of weight gain, self-esteem tied to body image","bulimia nervosa: Binge eating followed by purging (vomiting, laxative use, fasting, excessive exercise), feeling out of control during binges, fear of weight gain, self-esteem tied to body image"
bunion,"Bump on the base of the big toe, redness, swelling, pain, limited movement of the big toe, corns or calluses","bunion: Bump on the base of the big toe, redness, swelling, pain, limited movement of the big toe, corns or calluses"
burkitt lymphoma,"Swelling of the lymph nodes, fever, night sweats, weight loss, abdominal pain, nausea, vomiting","burkitt lymphoma: Swelling of the lymph nodes, fever, night sweats, weight loss, abdominal pain, nausea, vomiting"
burning mouth syndrome,"Burning sensation in the mouth, dry mouth, metallic taste, tingling or numbness, changes in taste","burning mouth syndrome: Burning sensation in the mouth, dry mouth, metallic taste, tingling or numbness, changes in taste"
burns,"Redness, pain, swelling, blisters, peeling skin, shock, difficulty breathing","burns: Redness, pain, swelling, blisters, peeling skin, shock, difficulty breathing"
bursitis,"Pain, tenderness, and swelling near a joint, restricted movement, warmth and redness over the affected area","bursitis: Pain, tenderness, and swelling near a joint, restricted movement, warmth and redness over the affected area"
c. difficile infection,"Diarrhea (often watery and frequent), abdominal pain and cramping, fever, loss of appetite, nausea","c. difficile infection: Diarrhea (often watery and frequent), abdominal pain and cramping, fever, loss of appetite, nausea"
calcaneal spur (heel spur),"Heel pain (especially after long periods of rest or activity), tenderness in the heel, swelling, difficulty walking or standing for long periods, sharp pain when standing up in the morning","calcaneal spur (heel spur): Heel pain (especially after long periods of rest or activity), tenderness in the heel, swelling, difficulty walking or standing for long periods, sharp pain when standing up in the morning"
calcium deficiency,"Muscle cramps, spasms, or twitches, fatigue, weakened bones (osteoporosis), dental problems, numbness or tingling in the hands and feet, irregular heartbeat","calcium deficiency: Muscle cramps, spasms, or twitches, fatigue, weakened bones (osteoporosis), dental problems, numbness or tingling in the hands and feet, irregular heartbeat"
campylobacter infection,"Diarrhea (often bloody), abdominal pain or cramping, fever, nausea, vomiting, muscle pain, headache","campylobacter infection: Diarrhea (often bloody), abdominal pain or cramping, fever, nausea, vomiting, muscle pain, headache"
campylobacteriosis,"Diarrhea (often bloody), abdominal pain or cramping, fever, nausea, vomiting, muscle pain, headache","campylobacteriosis: Diarrhea (often bloody), abdominal pain or cramping, fever, nausea, vomiting, muscle pain, headache"
candidiasis (yeast infection),"Itching, burning, or redness in affected area (vagina, mouth, skin folds), white patches on the tongue or mouth, painful swallowing, vaginal discharge, rash","candidiasis (yeast infection): Itching, burning, or redness in affected area (vagina, mouth, skin folds), white patches on the tongue or mouth, painful swallowing, vaginal discharge, rash"
canker sore,"Painful sore inside the mouth (on the tongue, gums, or inside cheeks), white or yellowish center, red border, tingling or burning sensation","canker sore: Painful sore inside the mouth (on the tongue, gums, or inside cheeks), white or yellowish center, red border, tingling or burning sensation"
canker sores,"Headache, dizziness or lightheadedness, nausea or vomiting, confusion or drowsiness, chest pain, shortness of breath, blurred vision, loss of consciousness","canker sores: Headache, dizziness or lightheadedness, nausea or vomiting, confusion or drowsiness, chest pain, shortness of breath, blurred vision, loss of consciousness"
carbon monoxide poisoning,"Painful red lump or cluster of lumps (boil), swollen and filled with pus, fever, fatigue, itching, drainage of pus","carbon monoxide poisoning: Painful red lump or cluster of lumps (boil), swollen and filled with pus, fever, fatigue, itching, drainage of pus"
carbuncles,"Flushing of the face or neck, diarrhea, abdominal pain or cramping, wheezing or difficulty breathing, rapid heartbeat, heart valve problems","carbuncles: Flushing of the face or neck, diarrhea, abdominal pain or cramping, wheezing or difficulty breathing, rapid heartbeat, heart valve problems"
carcinoid syndrome,"Abdominal pain or discomfort, diarrhea, flushing of the face or neck, wheezing or difficulty breathing, heart valve problems","carcinoid syndrome: Abdominal pain or discomfort, diarrhea, flushing of the face or neck, wheezing or difficulty breathing, heart valve problems"
carcinoid tumor,"Shortness of breath, fatigue, swelling of legs, ankles, or abdomen, irregular heartbeat, dizziness or lightheadedness, chest pain or pressure","carcinoid tumor: Shortness of breath, fatigue, swelling of legs, ankles, or abdomen, irregular heartbeat, dizziness or lightheadedness, chest pain or pressure"
cardiomyopathy,"Stroke symptoms (sudden weakness or numbness in face or limbs, difficulty speaking or understanding speech, vision problems), transient ischemic attack (TIA), dizziness, fainting, difficulty walking","cardiomyopathy: Stroke symptoms (sudden weakness or numbness in face or limbs, difficulty speaking or understanding speech, vision problems), transient ischemic attack (TIA), dizziness, fainting, difficulty walking"
